revolutions,humidity,vibration,x1,x2,x3,x4,x5
93.744,73.999,18.0,167.743,19.745,1.26682793,8787.937536,5475.852001
93.74,73.999,18.0,167.739,19.741,1.266773875,8787.1876,5475.852001
93.736,73.998,18.0,167.734,19.738,1.266736939,8786.437696,5475.704004
93.732,73.998,18.0,167.73,19.734,1.266682883,8785.687824,5475.704004
93.729,73.998,18.0,167.727,19.731,1.266642342,8785.125441,5475.704004
93.725,73.997,18.01,167.722,19.728,1.266605403,8784.375625,5475.556009
93.721,73.997,18.01,167.718,19.724,1.266551347,8783.625841,5475.556009
93.717,73.997,18.01,167.714,19.72,1.26649729,8782.876089,5475.556009
93.713,73.996,18.01,167.709,19.717,1.266460349,8782.126369,5475.408016
93.709,73.996,18.01,167.705,19.713,1.266406292,8781.376681,5475.408016
93.705,73.996,18.0,167.701,19.709,1.266352235,8780.627025,5475.408016
93.702,73.995,18.01,167.697,19.707,1.266328806,8780.064804,5475.260025
93.698,73.995,18.01,167.693,19.703,1.266274748,8779.315204,5475.260025
93.694,73.995,18.01,167.689,19.699,1.266220691,8778.565636,5475.260025
93.69,73.994,18.01,167.684,19.696,1.266183745,8777.8161,5475.112036
93.686,73.994,18.02,167.68,19.692,1.266129686,8777.066596,5475.112036
93.682,73.994,18.02,167.676,19.688,1.266075628,8776.317124,5475.112036
93.678,73.993,18.02,167.671,19.685,1.266038679,8775.567684,5474.964049
93.675,73.993,18.02,167.668,19.682,1.265998135,8775.005625,5474.964049
93.671,73.993,18.02,167.664,19.678,1.265944076,8774.256241,5474.964049
93.667,73.992,18.0,167.659,19.675,1.265907125,8773.506889,5474.816064
93.663,73.992,18.02,167.655,19.671,1.265853065,8772.757569,5474.816064
93.659,73.992,18.02,167.651,19.667,1.265799005,8772.008281,5474.816064
93.655,73.992,18.02,167.647,19.663,1.265744945,8771.259025,5474.816064
93.651,73.991,18.02,167.642,19.66,1.265707992,8770.509801,5474.668081
93.648,73.991,18.03,167.639,19.657,1.265667446,8769.947904,5474.668081
93.644,73.991,18.03,167.635,19.653,1.265613385,8769.198736,5474.668081
93.64,73.99,18.03,167.63,19.65,1.265576429,8768.4496,5474.5201
93.636,73.99,18.03,167.626,19.646,1.265522368,8767.700496,5474.5201
93.632,73.99,18.03,167.622,19.642,1.265468307,8766.951424,5474.5201
93.628,73.989,18.0,167.617,19.639,1.265431348,8766.202384,5474.372121
93.624,73.989,18.03,167.613,19.635,1.265377286,8765.453376,5474.372121
93.621,73.989,18.03,167.61,19.632,1.265336739,8764.891641,5474.372121
93.617,73.988,18.03,167.605,19.629,1.265299778,8764.142689,5474.224144
93.613,73.988,18.03,167.601,19.625,1.265245716,8763.393769,5474.224144
93.609,73.988,18.04,167.597,19.621,1.265191653,8762.644881,5474.224144
93.605,73.987,18.04,167.592,19.618,1.265154689,8761.896025,5474.076169
93.601,73.987,18.04,167.588,19.614,1.265100626,8761.147201,5474.076169
93.597,73.987,18.04,167.584,19.61,1.265046562,8760.398409,5474.076169
93.594,73.986,18.04,167.58,19.608,1.265023112,8759.836836,5473.928196
93.59,73.986,18.0,167.576,19.604,1.264969048,8759.0881,5473.928196
93.586,73.986,18.04,167.572,19.6,1.264914984,8758.339396,5473.928196
93.582,73.985,18.04,167.567,19.597,1.264878016,8757.590724,5473.780225
93.578,73.985,18.04,167.563,19.593,1.264823951,8756.842084,5473.780225
93.574,73.985,18.04,167.559,19.589,1.264769886,8756.093476,5473.780225
93.57,73.984,18.05,167.554,19.586,1.264732915,8755.3449,5473.632256
93.567,73.984,18.05,167.551,19.583,1.264692366,8754.783489,5473.632256
93.563,73.984,18.05,167.547,19.579,1.2646383,8754.034969,5473.632256
93.559,73.983,18.05,167.542,19.576,1.264601327,8753.286481,5473.484289
93.555,73.983,18.05,167.538,19.572,1.264547261,8752.538025,5473.484289
93.551,73.983,18.0,167.534,19.568,1.264493194,8751.789601,5473.484289
93.547,73.982,18.05,167.529,19.565,1.264456219,8751.041209,5473.336324
93.543,73.982,18.05,167.525,19.561,1.264402152,8750.292849,5473.336324
93.54,73.982,18.05,167.522,19.558,1.264361601,8749.7316,5473.336324
93.536,73.981,18.05,167.517,19.555,1.264324624,8748.983296,5473.188361
93.532,73.981,18.06,167.513,19.551,1.264270556,8748.235024,5473.188361
93.528,73.981,18.06,167.509,19.547,1.264216488,8747.486784,5473.188361
93.524,73.98,18.06,167.504,19.544,1.264179508,8746.738576,5473.0404
93.52,73.98,18.06,167.5,19.54,1.264125439,8745.9904,5473.0404
93.516,73.98,18.06,167.496,19.536,1.264071371,8745.242256,5473.0404
93.513,73.979,18.0,167.492,19.534,1.264047905,8744.681169,5472.892441
93.509,73.979,18.06,167.488,19.53,1.263993836,8743.933081,5472.892441
93.505,73.979,18.06,167.484,19.526,1.263939767,8743.185025,5472.892441
93.501,73.978,18.06,167.479,19.523,1.263902782,8742.437001,5472.744484
93.497,73.978,18.06,167.475,19.519,1.263848712,8741.689009,5472.744484
93.493,73.978,18.07,167.471,19.515,1.263794642,8740.941049,5472.744484
93.489,73.977,18.07,167.466,19.512,1.263757654,8740.193121,5472.596529
93.486,73.977,18.07,167.463,19.509,1.263717101,8739.632196,5472.596529
93.482,73.977,18.07,167.459,19.505,1.26366303,8738.884324,5472.596529
93.478,73.977,18.07,167.455,19.501,1.26360896,8738.136484,5472.596529
93.474,73.976,18.0,167.45,19.498,1.263571969,8737.388676,5472.448576
93.47,73.976,18.07,167.446,19.494,1.263517898,8736.6409,5472.448576
93.466,73.976,18.07,167.442,19.49,1.263463826,8735.893156,5472.448576
93.462,73.975,18.07,167.437,19.487,1.263426833,8735.145444,5472.300625
93.459,73.975,18.07,167.434,19.484,1.263386279,8734.584681,5472.300625
93.455,73.975,18.08,167.43,19.48,1.263332207,8733.837025,5472.300625
93.451,73.974,18.08,167.425,19.477,1.263295212,8733.089401,5472.152676
93.447,73.974,18.08,167.421,19.473,1.263241139,8732.341809,5472.152676
93.443,73.974,18.08,167.417,19.469,1.263187066,8731.594249,5472.152676
93.439,73.973,18.08,167.412,19.466,1.263150068,8730.846721,5472.004729
93.435,73.973,18.0,167.408,19.462,1.263095994,8730.099225,5472.004729
93.432,73.973,18.08,167.405,19.459,1.263055439,8729.538624,5472.004729
93.428,73.972,18.08,167.4,19.456,1.263018439,8728.791184,5471.856784
93.424,73.972,18.08,167.396,19.452,1.262964365,8728.043776,5471.856784
93.42,73.972,18.08,167.392,19.448,1.26291029,8727.2964,5471.856784
93.416,73.971,18.09,167.387,19.445,1.262873288,8726.549056,5471.708841
93.412,73.971,18.09,167.383,19.441,1.262819213,8725.801744,5471.708841
93.408,73.971,18.09,167.379,19.437,1.262765138,8725.054464,5471.708841
93.404,73.97,18.09,167.374,19.434,1.262728133,8724.307216,5471.5609
93.401,73.97,18.09,167.371,19.431,1.262687576,8723.746801,5471.5609
93.397,73.97,18.0,167.367,19.427,1.2626335,8722.999609,5471.5609
93.393,73.969,18.09,167.362,19.424,1.262596493,8722.252449,5471.412961
93.389,73.969,18.09,167.358,19.42,1.262542416,8721.505321,5471.412961
93.385,73.969,18.09,167.354,19.416,1.26248834,8720.758225,5471.412961
93.381,73.968,18.09,167.349,19.413,1.26245133,8720.011161,5471.265024
93.377,73.968,18.1,167.345,19.409,1.262397253,8719.264129,5471.265024
93.374,73.968,18.1,167.342,19.406,1.262356695,8718.703876,5471.265024
93.37,73.967,18.1,167.337,19.403,1.262319683,8717.9569,5471.117089
93.366,73.967,18.1,167.333,19.399,1.262265605,8717.209956,5471.117089
93.362,73.967,18.1,167.329,19.395,1.262211527,8716.463044,5471.117089
93.358,73.966,18.0,167.324,19.392,1.262174513,8715.716164,5470.969156
93.354,73.966,18.1,167.32,19.388,1.262120434,8714.969316,5470.969156
93.35,73.966,18.1,167.316,19.384,1.262066355,8714.2225,5470.969156
93.347,73.965,18.1,167.312,19.382,1.262042858,8713.662409,5470.821225
93.343,73.965,18.1,167.308,19.378,1.261988778,8712.915649,5470.821225
93.339,73.965,18.11,167.304,19.374,1.261934699,8712.168921,5470.821225
93.335,73.964,18.11,167.299,19.371,1.26189768,8711.422225,5470.673296
93.331,73.964,18.11,167.295,19.367,1.2618436,8710.675561,5470.673296
93.327,73.964,18.11,167.291,19.363,1.261789519,8709.928929,5470.673296
93.323,73.963,18.11,167.286,19.36,1.261752498,8709.182329,5470.525369
93.32,73.963,18.0,167.283,19.357,1.261711937,8708.6224,5470.525369
93.316,73.963,18.11,167.279,19.353,1.261657856,8707.875856,5470.525369
93.312,73.962,18.11,167.274,19.35,1.261620832,8707.129344,5470.377444
93.308,73.962,18.11,167.27,19.346,1.26156675,8706.382864,5470.377444
93.304,73.962,18.11,167.266,19.342,1.261512669,8705.636416,5470.377444
93.3,73.962,18.12,167.262,19.338,1.261458587,8704.89,5470.377444
93.296,73.961,18.12,167.257,19.335,1.26142156,8704.143616,5470.229521
93.293,73.961,18.12,167.254,19.332,1.261380998,8703.583849,5470.229521
93.289,73.961,18.12,167.25,19.328,1.261326916,8702.837521,5470.229521
93.285,73.96,18.12,167.245,19.325,1.261289886,8702.091225,5470.0816
93.281,73.96,18.0,167.241,19.321,1.261235803,8701.344961,5470.0816
93.277,73.96,18.12,167.237,19.317,1.26118172,8700.598729,5470.0816
93.273,73.959,18.12,167.232,19.314,1.261144688,8699.852529,5469.933681
93.269,73.959,18.12,167.228,19.31,1.261090604,8699.106361,5469.933681
93.266,73.959,18.12,167.225,19.307,1.261050041,8698.546756,5469.933681
93.262,73.958,18.13,167.22,19.304,1.261013007,8697.800644,5469.785764
93.258,73.958,18.13,167.216,19.3,1.260958923,8697.054564,5469.785764
93.254,73.958,18.13,167.212,19.296,1.260904838,8696.308516,5469.785764
93.25,73.957,18.13,167.207,19.293,1.260867802,8695.5625,5469.637849
93.246,73.957,18.13,167.203,19.289,1.260813716,8694.816516,5469.637849
93.242,73.957,18.13,167.199,19.285,1.260759631,8694.070564,5469.637849
93.239,73.956,18.13,167.195,19.283,1.260736113,8693.511121,5469.489936
93.235,73.956,18.13,167.191,19.279,1.260682027,8692.765225,5469.489936
93.231,73.956,18.13,167.187,19.275,1.260627941,8692.019361,5469.489936
93.227,73.955,18.13,167.182,19.272,1.2605909,8691.273529,5469.342025
93.223,73.955,18.14,167.178,19.268,1.260536813,8690.527729,5469.342025
93.219,73.955,18.14,167.174,19.264,1.260482726,8689.781961,5469.342025
93.215,73.954,18.14,167.169,19.261,1.260445682,8689.036225,5469.194116
93.212,73.954,18.14,167.166,19.258,1.260405117,8688.476944,5469.194116
93.208,73.954,18.14,167.162,19.254,1.260351029,8687.731264,5469.194116
93.204,73.953,18.14,167.157,19.251,1.260313983,8686.985616,5469.046209
93.2,73.953,18.14,167.153,19.247,1.260259895,8686.24,5469.046209
93.196,73.953,18.14,167.149,19.243,1.260205806,8685.494416,5469.046209
93.192,73.952,18.14,167.144,19.24,1.260168758,8684.748864,5468.898304
93.188,73.952,18.14,167.14,19.236,1.260114669,8684.003344,5468.898304
93.185,73.952,18.15,167.137,19.233,1.260074102,8683.444225,5468.898304
93.181,73.951,18.15,167.132,19.23,1.260037052,8682.698761,5468.750401
93.177,73.951,18.15,167.128,19.226,1.259982962,8681.953329,5468.750401
93.173,73.951,18.15,167.124,19.222,1.259928872,8681.207929,5468.750401
93.169,73.95,18.15,167.119,19.219,1.259891819,8680.462561,5468.6025
93.165,73.95,18.15,167.115,19.215,1.259837728,8679.717225,5468.6025
93.161,73.95,18.15,167.111,19.211,1.259783638,8678.971921,5468.6025
93.158,73.949,18.15,167.107,19.209,1.259760105,8678.412964,5468.454601
93.154,73.949,18.15,167.103,19.205,1.259706014,8677.667716,5468.454601
93.15,73.949,18.15,167.099,19.201,1.259651922,8676.9225,5468.454601
93.146,73.948,18.16,167.094,19.198,1.259614864,8676.177316,5468.306704
93.142,73.948,18.16,167.09,19.194,1.259560772,8675.432164,5468.306704
93.138,73.948,18.16,167.086,19.19,1.25950668,8674.687044,5468.306704
93.134,73.947,18.16,167.081,19.187,1.25946962,8673.941956,5468.158809
93.131,73.947,18.16,167.078,19.184,1.259429051,8673.383161,5468.158809
93.127,73.947,18.16,167.074,19.18,1.259374958,8672.638129,5468.158809
93.123,73.947,18.16,167.07,19.176,1.259320865,8671.893129,5468.158809
93.119,73.946,18.16,167.065,19.173,1.259283802,8671.148161,5468.010916
93.115,73.946,18.16,167.061,19.169,1.259229708,8670.403225,5468.010916
93.111,73.946,18.16,167.057,19.165,1.259175615,8669.658321,5468.010916
93.107,73.945,18.17,167.052,19.162,1.259138549,8668.913449,5467.863025
93.104,73.945,18.17,167.049,19.159,1.259097978,8668.354816,5467.863025
93.1,73.945,18.17,167.045,19.155,1.259043884,8667.61,5467.863025
93.096,73.944,18.17,167.04,19.152,1.259006816,8666.865216,5467.715136
93.092,73.944,18.17,167.036,19.148,1.258952721,8666.120464,5467.715136
93.088,73.944,18.17,167.032,19.144,1.258898626,8665.375744,5467.715136
93.084,73.943,18.17,167.027,19.141,1.258861556,8664.631056,5467.567249
